"ITTER107","Territorio","TIPO_DATO_FOL","Tipo dato","SEXISTAT1","Sesso","ETA1","Classe di età","DURATA","Durata della disoccupazione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2019","2019",9.093324,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2019-Q1","T1-2019",10.304281,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2019-Q2","T2-2019",9.071768,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2019-Q4","T4-2019",8.73384,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2019-Q3","T3-2019",8.267187,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2020","2020",8.403538,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2020-Q2","T2-2020",7.207419,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2020-Q1","T1-2020",8.543542,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2020-Q3","T3-2020",8.992374,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","TOTAL","totale","2020-Q4","T4-2020",8.838076,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2019","2019",11.09784,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2019-Q1","T1-2019",12.086535,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2019-Q2","T2-2019",10.655604,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y_GE15","15 anni e più","TOTAL","totale","2019-Q4","T4-2019",11.478212,,
